run_name,status,TM,TN,TK,num_ms,dn_bw,rn_bw,cycles,layer_type,CB_WIRE_WRITE,CB_WIRE_READ,FIFO_PUSH,FIFO_POP,energy,stats_file,counters_file,energy_file
run_0001_TM1_TN1_TK32,success,1,1,32,256,64,64,23660,3,6400,0,628722,628465,45664.23789663092,./experiment_runs/run_0001_TM1_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618726.txt,./experiment_runs/run_0001_TM1_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618730.counters,./experiment_runs/run_0001_TM1_TN1_TK32/energy.txt
run_0002_TM1_TN1_TK64,success,1,1,64,256,64,64,11760,3,3200,0,623922,623665,35594.66388943094,./experiment_runs/run_0002_TM1_TN1_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618731.txt,./experiment_runs/run_0002_TM1_TN1_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618735.counters,./experiment_runs/run_0002_TM1_TN1_TK64/energy.txt
run_0003_TM1_TN2_TK32,success,1,2,32,256,64,64,11850,3,6400,0,628726,628212,33524.07414629287,./experiment_runs/run_0003_TM1_TN2_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618736.txt,./experiment_runs/run_0003_TM1_TN2_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618740.counters,./experiment_runs/run_0003_TM1_TN2_TK32/energy.txt
run_0004_TM1_TN2_TK64,success,1,2,64,256,64,64,5900,3,3200,0,623926,623412,28435.85798909281,./experiment_runs/run_0004_TM1_TN2_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618741.txt,./experiment_runs/run_0004_TM1_TN2_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618743.counters,./experiment_runs/run_0004_TM1_TN2_TK64/energy.txt
run_0005_TM2_TN1_TK32,success,2,1,32,256,64,64,12300,3,6400,0,633846,633332,36556.54300989292,./experiment_runs/run_0005_TM2_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618744.txt,./experiment_runs/run_0005_TM2_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618748.counters,./experiment_runs/run_0005_TM2_TN1_TK32/energy.txt
run_0006_TM2_TN1_TK64,success,2,1,64,256,64,64,6200,3,3200,0,629046,628532,31342.74640269291,./experiment_runs/run_0006_TM2_TN1_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618749.txt,./experiment_runs/run_0006_TM2_TN1_TK64/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618752.counters,./experiment_runs/run_0006_TM2_TN1_TK64/energy.txt
run_0007_TM2_TN2_TK32,success,2,2,32,256,64,64,7680,3,6400,0,624252,623224,29894.239480585842,./experiment_runs/run_0007_TM2_TN2_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618753.txt,./experiment_runs/run_0007_TM2_TN2_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618757.counters,./experiment_runs/run_0007_TM2_TN2_TK32/energy.txt
run_0008_TM2_TN2_TK64,failed,2,2,64,,,,,,,,,,,,,
run_0009_TM4_TN1_TK32,success,4,1,32,256,64,64,8140,3,6400,0,634492,633464,33338.00788778575,./experiment_runs/run_0009_TM4_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618758.txt,./experiment_runs/run_0009_TM4_TN1_TK32/output_stats_layer_TestLayer_architecture_MSes_256_dnbw_64_rn_bw_64timestamp_1776618762.counters,./experiment_runs/run_0009_TM4_TN1_TK32/energy.txt
run_0010_TM4_TN1_TK64,failed,4,1,64,,,,,,,,,,,,,
run_0011_TM4_TN2_TK32,failed,4,2,32,,,,,,,,,,,,,
run_0012_TM4_TN2_TK64,failed,4,2,64,,,,,,,,,,,,,
